account_id,customer_id,account_type,opened_date,branch,currency,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
ACC000307,CUST00354,Current,2016-02-08,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586804,2026-07-19
ACC000286,CUST00158,Investment,2025-07-24,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586682,2026-07-19
ACC000014,CUST00449,Current,2026-09-10,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584045,2026-07-19
ACC000696,CUST00196,Savings,2016-04-03,Kolkata,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589510,2026-07-19
ACC000230,CUST00299,Demat,2016-09-06,Hyderabad,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586257,2026-07-19
ACC000452,CUST00229,Current,2020-06-20,Hyderabad,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588005,2026-07-19
ACC000645,CUST00443,Current,2017-07-14,Bengaluru,INR,Closed,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589190,2026-07-19
ACC000324,CUST00026,Current,2019-10-22,Kolkata,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586989,2026-07-19
ACC000328,CUST00312,Demat,2021-03-05,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.587018,2026-07-19
ACC000598,CUST00333,Current,2021-05-20,Chennai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588909,2026-07-19
ACC000306,CUST00349,Investment,2015-11-14,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586799,2026-07-19
ACC000303,CUST00403,Demat,2022-09-17,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586779,2026-07-19
ACC000494,CUST00457,Demat,2018-01-01,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588268,2026-07-19
ACC000720,CUST00281,Investment,2018-03-03,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589665,2026-07-19
ACC000210,CUST00435,Demat,2017-05-01,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586139,2026-07-19
ACC000628,CUST00415,Demat,2024-04-05,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589088,2026-07-19
ACC000625,CUST00084,Investment,2023-06-27,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589071,2026-07-19
ACC000554,CUST00142,Investment,2022-12-02,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588642,2026-07-19
ACC000397,CUST00247,Demat,2023-08-19,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.587676,2026-07-19
ACC000361,CUST00153,Demat,2025-03-23,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.587214,2026-07-19
ACC000801,CUST00045,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000802,CUST00471,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000803,CUST00128,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000804,CUST00388,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000805,CUST00081,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000806,CUST00301,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000807,CUST00371,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000808,CUST00197,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000809,CUST00072,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000810,CUST00047,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000811,CUST00234,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000812,CUST00297,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000813,CUST00082,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000814,CUST00239,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000815,CUST00104,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000816,CUST00390,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000817,CUST00285,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000818,CUST00465,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000819,CUST00374,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000820,CUST00167,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000821,CUST00380,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000822,CUST00364,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000823,CUST00215,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000824,CUST00274,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000825,CUST00074,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000826,CUST00176,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000827,CUST00251,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000828,CUST00168,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000829,CUST00474,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000830,CUST00389,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000831,CUST00277,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000832,CUST00225,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000833,CUST00333,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000834,CUST00058,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000835,CUST00235,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000836,CUST00033,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000837,CUST00324,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000838,CUST00411,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000839,CUST00275,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
ACC000840,CUST00068,Investment,2023-05-26,Mumbai,INR,Open,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.583937,2026-07-19
